pair_id,smiles_A,smiles_B,source,transformation,analogs_generated,unique_analogs,B_recovered_exact,B_rank_by_tanimoto,best_tanimoto,top10_tanimoto_mean,smirks_that_recovered_B,runtime_s
CHEMBL_MMP_01696,CN(C)c1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,CNc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,ChEMBL-37/mmpdb,[*:1]C>>[*:1][H],155,96,False,,0.6852,0.6198,,1.3005
CHEMBL_MMP_01697,NS(=O)(=O)c1ccc(CO)cc1,NNc1ccc(S(N)(=O)=O)cc1,ChEMBL-37/mmpdb,[*:1]CO>>[*:1]NN,131,84,False,,0.4815,0.4587,,0.8088
CHEMBL_MMP_01698,CCOC(=O)c1cc2ccccn2c(=Nc2ccc(Br)cc2)n1,CCOC(=O)c1cc2ccccn2c(=Nc2ccccc2)n1,ChEMBL-37/mmpdb,[*:1]Br>>[*:1][H],178,108,False,,0.8367,0.7557,,1.3421
CHEMBL_MMP_01699,CCCCc1nc2cnnc(O)c2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,CCCCc1nc2cnncc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,ChEMBL-37/mmpdb,[*:1]O>>[*:1][H],346,229,False,,0.7377,0.6483,,1.924
CHEMBL_MMP_01700,CC(C)(C)NCC(O)COC(=O)c1ccc(C=O)cc1,CC(C)(C)NCC(O)COC(=O)c1ccc(F)cc1,ChEMBL-37/mmpdb,[*:1]C=O>>[*:1]F,149,95,False,,0.7692,0.7047,,0.7587
CHEMBL_MMP_01701,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)(C)C3O,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(C)C(C)C3O,ChEMBL-37/mmpdb,[*:1]C>>[*:1][H],131,100,False,,0.7258,0.7099,,1.5044
CHEMBL_MMP_01702,NCCCCC(NC(=O)c1ccccc1Br)C(=O)O,O=C(O)CNC(=O)c1ccccc1Br,ChEMBL-37/mmpdb,[*:1]CCCCN>>[*:1][H],277,189,False,,0.4545,0.4406,,1.0997
CHEMBL_MMP_01703,Cc1ccc(N(CCN)C(=O)c2ccc(Cl)cc2Cl)cc1,NCCN(C(=O)c1ccc(Cl)cc1Cl)c1ccc(F)cc1,ChEMBL-37/mmpdb,[*:1]C>>[*:1]F,285,181,True,1,1.0,0.7715,META023,1.8145
CHEMBL_MMP_01704,CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1C(=O)CN)OCO3,CC1Cc2cc3c(cc2C(c2ccc(N)cc2)=NN1C=O)OCO3,ChEMBL-37/mmpdb,[*:1]CN>>[*:1][H],271,173,False,,0.6842,0.6465,,2.768
CHEMBL_MMP_01705,N#CC1(c2cc(CC(O)CO)cc(-c3ccnc4[nH]nc(C(F)(F)F)c34)c2)CC1,CC(O)Cc1cc(-c2ccnc3[nH]nc(C(F)(F)F)c23)cc(C2(C#N)CC2)c1,ChEMBL-37/mmpdb,[*:1]O>>[*:1][H],232,165,False,,0.8281,0.8114,,1.6286
CHEMBL_MMP_01706,COc1ccc2oc([N+](=O)[O-])cc2c1,O=[N+]([O-])c1cc2ccccc2o1,ChEMBL-37/mmpdb,[*:1]OC>>[*:1][H],144,94,False,,0.6061,0.5631,,1.3262
